year,month,category,segment,total_stock,total_sold,avg_days_of_supply,avg_fill_rate_pct,avg_sell_through_pct,stockout_rate_pct,overstock_rate_pct,inventory_turnover_pct,need_reorder_products,fill_rate_rank,inventory_health
2012,10,Streetwear,Everyday,9174,1630,192.7,95.02,20.37,63.92,74.23,14.69,0,5,Critical Stockout
2012,10,Outdoor,Premium,835,413,151.9,90.76,28.8,63.64,50.00,31.10,0,8,Critical Stockout
2012,10,Outdoor,Activewear,10092,2788,151.0,96.37,24.06,63.19,56.94,20.92,0,3,Critical Stockout
2012,10,GenZ,Trendy,1547,228,259.1,96.83,16.49,60.00,80.00,12.58,0,2,Critical Stockout
2012,10,Casual,All-weather,559,127,204.1,98.63,20.87,29.41,70.59,18.07,0,1,Overstock Risk
2012,11,GenZ,Trendy,1516,124,593.7,96.45,8.04,80.00,93.33,7.48,0,4,Critical Stockout
2012,11,Streetwear,Balanced,3245,730,176.4,95.25,22.66,76.60,65.96,17.78,0,7,Critical Stockout
2012,11,Streetwear,Everyday,9262,1190,321.3,95.78,16.24,73.33,76.67,11.18,0,6,Critical Stockout
2012,11,Streetwear,Performance,3176,340,270.8,96.67,16.06,73.08,67.31,9.53,0,1,Critical Stockout
2012,11,Outdoor,Premium,922,436,168.7,92.43,28.34,72.73,40.91,30.36,0,8,Critical Stockout
2012,11,Outdoor,Activewear,10930,3268,143.6,96.44,22.62,69.86,64.38,22.17,0,5,Critical Stockout
2012,11,Streetwear,Standard,515,69,244.4,96.67,16.06,65.22,78.26,11.73,0,1,Critical Stockout
2012,11,Casual,All-weather,568,94,220.3,96.46,16.02,62.50,75.00,13.95,0,3,Critical Stockout
2012,12,Streetwear,Balanced,3446,694,192.4,95.77,21.46,75.00,63.46,16.29,0,6,Critical Stockout
2012,12,Outdoor,Activewear,12891,7690,101.5,93.51,30.98,73.81,33.33,34.85,0,7,Critical Stockout
2012,12,Casual,All-weather,611,116,184.8,96.11,18.57,72.22,72.22,15.63,0,5,Critical Stockout
2012,12,Streetwear,Performance,3255,336,300.1,96.23,14.33,71.70,77.36,9.26,0,3,Critical Stockout
2012,12,Streetwear,Everyday,9520,1144,354.4,96.13,15.84,67.74,81.72,10.53,0,4,Critical Stockout
2012,12,GenZ,Trendy,1589,206,397.4,96.85,12.17,66.67,88.89,11.26,0,2,Critical Stockout
2012,12,Streetwear,Standard,487,73,239.2,97.08,18.95,58.33,70.83,12.97,0,1,Critical Stockout
2012,12,Outdoor,Premium,1024,555,146.7,93.33,31.55,56.52,26.09,33.08,0,8,Critical Stockout
2013,1,Streetwear,Balanced,3577,688,200.7,95.93,19.52,80.00,76.00,15.68,0,7,Critical Stockout
2013,1,GenZ,Trendy,1523,105,600.2,95.55,8.65,80.00,93.33,6.39,0,8,Critical Stockout
