category,segment,product_name,stock_on_hand,sell_through_pct,days_of_supply,total_returns,returned_qty,avg_refund,top_return_reason,is_stockout,is_overstock,needs_reorder
Outdoor,Activewear,VietMotion RP-15,827,3.5,827.0,191,486,3912.07,defective,YES,YES,NO
Outdoor,Activewear,VietMotion RP-52,824,2.94,988.8,189,515,1668.84,defective,NO,YES,NO
Streetwear,Everyday,HanoiStreet UC-39,1276,0.08,38280.0,188,524,9246.03,not_as_described,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-66,826,4.18,688.3,187,512,3484.03,not_as_described,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-69,743,4.5,636.9,181,572,3386.21,wrong_size,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-70,724,4.61,620.6,176,513,3109.12,wrong_size,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-52,690,0.43,6900.0,163,448,9035.68,wrong_size,NO,YES,NO
Streetwear,Balanced,SaigonFlex UM-11,1128,3.75,769.1,162,406,32713.09,defective,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-51,739,0.4,7390.0,161,419,8746.07,wrong_size,YES,YES,NO
Streetwear,Everyday,VietMotion UC-07,847,0.12,25410.0,151,404,12235.04,wrong_size,YES,YES,NO
Streetwear,Everyday,SaigonFlex UC-39,653,1.21,2448.8,149,392,19073.93,not_as_described,YES,YES,NO
Streetwear,Everyday,SaigonFlex UC-13,776,0.51,5820.0,146,415,15597.32,changed_mind,YES,YES,NO
Streetwear,Everyday,SaigonFlex UC-55,670,1.62,1827.3,145,416,11322.33,wrong_size,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-13,1009,0.1,30270.0,143,332,2752.51,not_as_described,YES,YES,NO
